date,datetime,Visites_by_hour
01/03/2014,01/03/2014 07,1
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,0
01/03/2014,01/03/2014 07,5
01/03/2014,01/03/2014 07,0
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,5
01/03/2014,01/03/2014 07,5
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,1
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,8
01/03/2014,01/03/2014 07,5
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,11
01/03/2014,01/03/2014 07,2
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,5
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,4
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,10
01/03/2014,01/03/2014 07,10
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,5
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,6
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,9
01/03/2014,01/03/2014 07,2
01/03/2014,01/03/2014 08,6
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,11
01/03/2014,01/03/2014 08,7
01/03/2014,01/03/2014 08,4
01/03/2014,01/03/2014 08,14
01/03/2014,01/03/2014 08,13
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,9
01/03/2014,01/03/2014 08,4
01/03/2014,01/03/2014 08,9
01/03/2014,01/03/2014 08,9
01/03/2014,01/03/2014 08,2
01/03/2014,01/03/2014 08,13
01/03/2014,01/03/2014 08,2
01/03/2014,01/03/2014 08,5
01/03/2014,01/03/2014 08,4
01/03/2014,01/03/2014 08,7
01/03/2014,01/03/2014 08,12
01/03/2014,01/03/2014 08,5
01/03/2014,01/03/2014 08,7
01/03/2014,01/03/2014 08,10
01/03/2014,01/03/2014 08,12
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,5
01/03/2014,01/03/2014 08,14
01/03/2014,01/03/2014 08,7
01/03/2014,01/03/2014 08,6
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,11
01/03/2014,01/03/2014 08,9
01/03/2014,01/03/2014 08,10
01/03/2014,01/03/2014 08,16
01/03/2014,01/03/2014 08,11
01/03/2014,01/03/2014 08,11
01/03/2014,01/03/2014 08,9
01/03/2014,01/03/2014 08,17
01/03/2014,01/03/2014 08,6
01/03/2014,01/03/2014 08,10
01/03/2014,01/03/2014 08,12
01/03/2014,01/03/2014 08,7
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,10
01/03/2014,01/03/2014 08,10
01/03/2014,01/03/2014 08,17
01/03/2014,01/03/2014 08,14
01/03/2014,01/03/2014 08,7
01/03/2014,01/03/2014 08,9
01/03/2014,01/03/2014 08,10
01/03/2014,01/03/2014 08,13
01/03/2014,01/03/2014 08,9
01/03/2014,01/03/2014 08,12
01/03/2014,01/03/2014 08,14
01/03/2014,01/03/2014 08,13
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,8
01/03/2014,01/03/2014 08,17
01/03/2014,01/03/2014 08,7
01/03/2014,01/03/2014 08,17
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,12
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,18
01/03/2014,01/03/2014 09,18
01/03/2014,01/03/2014 09,9
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,22
