"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month","TAv_TAp","TAv","DAYPART","weekday_weekend"
2014-01-22,94,103,"SerieClub",9,0.06,21,20,"3","03","01",1,"AC","DAY","WD"
2014-01-22,96,1042,"M6",11,0.85,379.08,20,"3","03","01",1,"ACB","DAY","WD"
2014-01-22,116,143,"Teva",11,0.03,204,30,"3","03","01",1,"AC","DAY","WD"
2014-01-22,112,100,"SerieClub",11,0.05,11.4,20,"3","03","01",1,"AC","DAY","WD"
2014-01-22,842,1466,"M6",12,0.64,1080,30,"3","03","01",1,"ACB","DAY","WD"
2014-01-22,156,236,"Teva",12,0.04,223.56,20,"3","03","01",1,"AC","DAY","WD"
2014-01-22,188,1124,"M6",12,1,990,30,"3","03","01",0,"ACB","DAY","WD"
2014-01-22,224,336,"Teva",12,0.05,254.34,20,"3","03","01",1,"AC","DAY","WD"
2014-01-22,178,584,"Teva",13,0.05,320,30,"3","03","01",1,"AC","DAY","WD"
2014-01-22,244,173,"SerieClub",14,0.11,32.4,20,"3","03","01",1,"AC","DAY","WD"
2014-01-22,344,2339,"M6",14,3.83,1312.2,20,"3","03","01",1,"ABA","DAY","WD"
2014-01-22,424,1273,"M6",15,3.51,1116,30,"3","03","01",0,"ABA","DAY","WD"
2014-01-22,202,190,"SerieClub",16,0.16,53.4,20,"3","03","01",1,"AC","DAY","WD"
2014-01-22,198,171,"ParisPremiere",16,0.19,98.82,20,"3","03","01",1,"ACC","DAY","WD"
2014-01-22,174,159,"SerieClub",16,0.15,47,20,"3","03","01",1,"AC","DAY","WD"
2014-01-22,812,4558,"M6",17,2.09,1224,30,"3","03","01",1,"CBB","DAY","WD"
2014-01-22,272,224,"SerieClub",17,0.18,80,30,"3","03","01",1,"AC","DAY","WD"
2014-01-22,432,2525,"M6",18,3.95,2070,30,"3","03","01",1,"CBA","DAY","WD"
2014-01-22,768,2025,"M6",19,5.21,2187,20,"3","03","01",1,"DDB","ACCESS","WD"
2014-01-22,178,239,"ParisPremiere",20,0.09,176,30,"3","03","01",1,"ACB","ACCESS","WD"
2014-01-22,142,184,"SerieClub",20,0.12,68,20,"3","03","01",1,"AC","PEAK","WD"
2014-01-22,2352,2903,"M6",20,5.64,6123.6,20,"3","03","01",0,"EBJ","PEAK","WD"
2014-01-22,244,241,"SerieClub",21,0.07,48,30,"3","03","01",1,"AC","PEAK","WD"
2014-01-22,206,442,"Teva",21,0.17,290,30,"3","03","01",1,"EA","PEAK","WD"
2014-01-22,146,157,"SerieClub",21,0.07,48,30,"3","03","01",1,"AC","PEAK","WD"
2014-01-22,146,409,"Teva",21,0.18,256,30,"3","03","01",1,"EA","PEAK","WD"
2014-01-22,1184,6361,"M6",21,6.6,8280,30,"3","03","01",1,"EAL","PEAK","WD"
2014-01-23,60,67,"ParisPremiere",7,0,6,30,"4","03","01",0,"EBL","PEAK","WD"
2014-01-23,80,72,"SerieClub",8,0.03,11.4,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,106,121,"SerieClub",9,0.06,14.6,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,110,120,"SerieClub",10,0.07,16.2,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,164,958,"M6",10,0.46,174.96,20,"4","03","01",1,"CBB","DAY","WD"
2014-01-23,172,163,"SerieClub",11,0.07,16.2,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,116,114,"SerieClub",11,0.05,17.8,20,"4","03","01",1,"AC","DAY","WD"
